year,weeksofar,id,team,massey,normalizedMassey
2016,2,18,Minnesota Vikings Offense,0.5747805453,0.5262984969
2016,2,53,New York Giants Defense,0.5271041859,0.5203549126
2016,2,5,Carolina Panthers Offense,0.3869054391,0.5028770034
2016,2,51,New England Patriots Defense,0.3777651422,0.5017375261
2016,2,28,San Francisco 49ers Offense,0.3404571766,0.49708652
2016,2,10,Denver Broncos Offense,0.3002550328,0.4920747104
2016,2,49,Miami Dolphins Defense,0.2640090922,0.4875561019
2016,2,26,Los Angeles Rams Offense,0.2369407203,0.484181617
2016,2,54,New York Jets Defense,0.2022643547,0.4798586799
2016,2,4,Buffalo Bills Offense,0.03528302656,0.459041914
2016,2,33,Arizona Cardinals Defense,-0.03186376406,0.4506710438
2016,2,9,Dallas Cowboys Offense,-0.03277217344,0.4505577968
2016,2,6,Chicago Bears Offense,-0.1468346859,0.4363381673
2016,2,55,Las Vegas Raiders Defense,-0.3276822953,0.4137927582
2016,2,31,Tennessee Titans Offense,-0.3430931234,0.4118715638
2016,2,38,Chicago Bears Defense,-0.4026245078,0.40445007
2016,2,62,Tampa Bay Buccaneers Defense,-0.4961815766,0.3927867564
2016,2,8,Cleveland Browns Offense,-0.5442858297,0.3867898285
2016,2,3,Baltimore Ravens Offense,-0.5918499297,0.380860239
2016,2,14,Indianapolis Colts Offense,-0.7009838422,0.3672550345
2016,2,11,Detroit Lions Offense,-0.7621711109,0.3596271095
2016,2,47,Jacksonville Jaguars Defense,-0.9312319453,0.3385511015
2016,2,52,New Orleans Saints Defense,-1.072614377,0.320925628
2016,2,34,Atlanta Falcons Defense,-1.20139762,0.3048708352
2016,2,17,Miami Dolphins Offense,-1.237889998,0.3003215044
2016,2,48,Kansas City Chiefs Defense,-1.250612227,0.2987354849
2016,2,20,New Orleans Saints Offense,-1.290539955,0.2937578855
2016,2,41,Dallas Cowboys Defense,-1.339837333,0.2876122164
2016,2,12,Green Bay Packers Offense,-1.424438405,0.2770654042
2016,2,24,Philadelphia Eagles Offense,-1.534257648,0.2633747628
2016,2,19,New England Patriots Offense,-1.542620336,0.2623322264
2016,2,1,Arizona Cardinals Offense,-1.663013717,0.2473233577
2016,2,23,Las Vegas Raiders Offense,-1.793240648,0.2310885872
2016,2,2,Atlanta Falcons Offense,-1.885997436,0.2195250409
2016,2,21,New York Giants Offense,-2.038368805,0.2005296289
2016,2,27,Los Angeles Chargers Offense,-2.295731086,0.1684455006
2016,2,29,Seattle Seahawks Offense,-2.44865048,0.149381769
2016,2,30,Tampa Bay Buccaneers Offense,-2.584841192,0.1324035224
2016,2,13,Houston Texans Offense,-2.668945367,0.121918656
2016,2,57,Pittsburgh Steelers Defense,-3.076113489,0.07115894789
2016,2,7,Cincinnati Bengals Offense,-3.561291217,0.01067415422
2016,2,32,Washington Commanders Offense,-3.646913761,0
2016,3,50,Minnesota Vikings Defense,2.530784243,1
2016,3,33,Arizona Cardinals Defense,2.352212359,0.9596455108
2016,3,49,Miami Dolphins Defense,2.115646852,0.9061853582
2016,3,35,Baltimore Ravens Defense,2.094464047,0.9013983715
2016,3,45,Houston Texans Defense,1.959439014,0.8708847984
2016,3,56,Philadelphia Eagles Defense,1.633498746,0.7972273297
2016,3,44,Green Bay Packers Defense,1.588836365,0.787134321
2016,3,36,Buffalo Bills Defense,1.409161283,0.7465305264
2016,3,58,Los Angeles Rams Defense,1.380906754,0.740145439
2016,3,61,Seattle Seahawks Defense,1.274386903,0.7160735971
2016,3,37,Carolina Panthers Defense,1.043113456,0.6638093682
2016,3,39,Cincinnati Bengals Defense,1.011188442,0.6565948081
2016,3,54,New York Jets Defense,0.9760714168,0.6486589024
2016,3,64,Washington Commanders Defense,0.9164588585,0.6351873845
2016,3,59,Los Angeles Chargers Defense,0.913642646,0.634550964
2016,3,19,New England Patriots Offense,0.878116108,0.6265225148
2016,3,34,Atlanta Falcons Defense,0.7090368683,0.5883132169
2016,3,43,Detroit Lions Defense,0.6809094254,0.581956849
2016,3,42,Denver Broncos Defense,0.6115242079,0.566276861
2016,3,46,Indianapolis Colts Defense,0.5738416954,0.5577611949
