year,weekssofar,ID,name,massey,normalizedMassey
2013,2,4,Buffalo Bills Offense,2.926488221,0.551468042
2013,2,26,Los Angeles Rams Offense,2.57392255,0.5374836377
2013,2,17,Miami Dolphins Offense,2.336120825,0.5280513085
2013,2,31,Tennessee Titans Offense,2.23720841,0.5241279792
2013,2,23,Las Vegas Raiders Offense,1.93213545,0.512027358
2013,2,1,Arizona Cardinals Offense,1.446353629,0.4927589778
2013,2,25,Pittsburgh Steelers Offense,1.31425911,0.487519491
2013,2,16,Kansas City Chiefs Offense,0.9114511446,0.4715422422
2013,2,22,New York Jets Offense,0.2784625151,0.446434951
2013,2,8,Cleveland Browns Offense,0.1759405328,0.4423684495
2013,2,15,Jacksonville Jaguars Offense,-0.3893818192,0.4199451196
2013,2,40,Cleveland Browns Defense,-2.13895186,0.3505489846
2013,2,61,Seattle Seahawks Defense,-2.152826308,0.3499986591
2013,2,54,New York Jets Defense,-2.177651334,0.3490139824
2013,2,37,Carolina Panthers Defense,-2.253783788,0.345994213
2013,2,38,Chicago Bears Defense,-2.289690347,0.3445699908
2013,2,58,Los Angeles Rams Defense,-2.409011124,0.3398371704
2013,2,49,Miami Dolphins Defense,-2.433266097,0.3388751047
2013,2,57,Pittsburgh Steelers Defense,-2.465699505,0.337588644
2013,2,48,Kansas City Chiefs Defense,-2.715420847,0.327683527
2013,2,52,New Orleans Saints Defense,-2.879754828,0.3211652723
2013,2,33,Arizona Cardinals Defense,-3.068362482,0.3136842101
2013,2,53,New York Giants Defense,-3.659906205,0.2902208179
2013,2,55,Las Vegas Raiders Defense,-3.708906138,0.2882772513
2013,2,62,Tampa Bay Buccaneers Defense,-3.715839235,0.2880022523
2013,2,39,Cincinnati Bengals Defense,-3.835188809,0.2832682897
2013,2,36,Buffalo Bills Defense,-3.99594835,0.276891814
2013,2,59,Los Angeles Chargers Defense,-4.3687235,0.2621058071
2013,2,43,Detroit Lions Defense,-4.582601436,0.2536224073
2013,2,41,Dallas Cowboys Defense,-4.673974347,0.2499981301
2013,2,42,Denver Broncos Defense,-4.736770716,0.2475073323
2013,2,63,Tennessee Titans Defense,-5.313404161,0.2246353515
2013,2,50,Minnesota Vikings Defense,-5.530696335,0.216016527
2013,2,47,Jacksonville Jaguars Defense,-5.6459937,0.211443294
2013,2,46,Indianapolis Colts Defense,-5.97396741,0.1984343219
2013,2,56,Philadelphia Eagles Defense,-6.033762965,0.1960625504
2013,2,64,Washington Commanders Defense,-6.357070008,0.1832386801
2013,2,51,New England Patriots Defense,-6.82594965,0.1646407194
2013,2,34,Atlanta Falcons Defense,-7.819844707,0.1252181905
2013,2,44,Green Bay Packers Defense,-8.016529636,0.1174167458
2013,2,45,Houston Texans Defense,-8.398055068,0.1022836618
2013,2,35,Baltimore Ravens Defense,-10.74009321,0.009387469671
2013,2,60,San Francisco 49ers Defense,-10.97676396,0
2013,3,3,Baltimore Ravens Offense,13.62727205,1
2013,3,10,Denver Broncos Offense,12.07012613,0.9359727843
2013,3,28,San Francisco 49ers Offense,11.96824176,0.9317834708
2013,3,12,Green Bay Packers Offense,9.789995062,0.8422176381
2013,3,19,New England Patriots Offense,9.73121893,0.8398008626
2013,3,2,Atlanta Falcons Offense,9.667547778,0.8371828122
2013,3,29,Seattle Seahawks Offense,9.142161068,0.8155797962
2013,3,13,Houston Texans Offense,6.73081007,0.7164291076
2013,3,9,Dallas Cowboys Offense,5.497084383,0.6657003869
2013,3,20,New Orleans Saints Offense,5.031972826,0.6465757837
2013,3,32,Washington Commanders Offense,5.019405132,0.6460590213
2013,3,7,Cincinnati Bengals Offense,5.016438964,0.6459370575
2013,3,6,Chicago Bears Offense,4.84644887,0.6389473513
2013,3,18,Minnesota Vikings Offense,4.786523947,0.6364833395
2013,3,5,Carolina Panthers Offense,4.605566327,0.6290426672
2013,3,27,Los Angeles Chargers Offense,4.497184926,0.6245862066
2013,3,14,Indianapolis Colts Offense,3.74324887,0.5935856268
2013,3,24,Philadelphia Eagles Offense,3.699332423,0.5917798566
2013,3,11,Detroit Lions Offense,3.685519037,0.5912118734
2013,3,4,Buffalo Bills Offense,3.510897243,0.5840317196
2013,3,21,New York Giants Offense,3.012779298,0.5635499493
2013,3,17,Miami Dolphins Offense,2.93047236,0.5601656267
2013,3,31,Tennessee Titans Offense,2.536231105,0.5439550908
2013,3,23,Las Vegas Raiders Offense,2.416729384,0.5390413815
2013,3,30,Tampa Bay Buccaneers Offense,2.136291839,0.5275102623
2013,3,26,Los Angeles Rams Offense,2.028731162,0.5230875486
2013,3,25,Pittsburgh Steelers Offense,1.919521152,0.5185970171
2013,3,16,Kansas City Chiefs Offense,1.84160216,0.5153931194
2013,3,22,New York Jets Offense,1.384551006,0.4965999464
2013,3,8,Cleveland Browns Offense,1.275140169,0.4921011572
2013,3,1,Arizona Cardinals Offense,1.017357389,0.4815015637
2013,3,15,Jacksonville Jaguars Offense,0.6013079188,0.4643943108
2013,3,37,Carolina Panthers Defense,-1.286559216,0.3867683964
2013,3,48,Kansas City Chiefs Defense,-2.314593948,0.344497341
2013,3,49,Miami Dolphins Defense,-2.554018841,0.334652593
2013,3,61,Seattle Seahawks Defense,-2.558163109,0.3344821877
2013,3,54,New York Jets Defense,-2.591453842,0.3331133288
2013,3,52,New Orleans Saints Defense,-2.61242003,0.3322512345
2013,3,40,Cleveland Browns Defense,-2.765103858,0.3259731329
2013,3,38,Chicago Bears Defense,-3.394772489,0.3000822201
2013,3,62,Tampa Bay Buccaneers Defense,-3.421108425,0.2989993308
2013,3,58,Los Angeles Rams Defense,-3.609966594,0.2912338012
