season,weeksofar,teamID,team,massey,normalizedMassey
2013,2,32,Washington Commanders,-2.11100637,0.290866871
2013,2,8,Cleveland Browns,-2.586178737,0.2433496342
2013,2,24,Philadelphia Eagles,-3.189544814,0.1830130265
2013,2,15,Jacksonville Jaguars,-5.019675079,0
2013,3,10,Denver Broncos,5.32171195,1
2013,3,3,Baltimore Ravens,4.524745083,0.9203033133
2013,3,29,Seattle Seahawks,4.461832776,0.9140120826
2013,3,19,New England Patriots,3.488762829,0.8167050879
2013,3,28,San Francisco 49ers,2.51541567,0.719370372
2013,3,5,Carolina Panthers,1.633890587,0.6312178637
2013,3,17,Miami Dolphins,1.611229929,0.6289517979
2013,3,20,New Orleans Saints,1.468759184,0.6147047234
2013,3,6,Chicago Bears,0.7973443402,0.547563239
2013,3,7,Cincinnati Bengals,0.765488271,0.5443776321
2013,3,14,Indianapolis Colts,0.4926485787,0.5170936629
2013,3,12,Green Bay Packers,0.3183203076,0.4996608357
2013,3,2,Atlanta Falcons,0.2338113599,0.491209941
2013,3,13,Houston Texans,0.07624586306,0.4754533913
2013,3,9,Dallas Cowboys,0.05577206668,0.4734060117
2013,3,27,Los Angeles Chargers,0.0432792921,0.4721567342
2013,3,22,New York Jets,-0.150733361,0.4527554689
2013,3,16,Kansas City Chiefs,-0.2775792012,0.4400708849
2013,3,4,Buffalo Bills,-0.6292360473,0.4049052003
2013,3,26,Los Angeles Rams,-0.938229957,0.3740058093
2013,3,23,Las Vegas Raiders,-0.9792025354,0.3699085514
2013,3,30,Tampa Bay Buccaneers,-1.043593128,0.3634694922
2013,3,31,Tennessee Titans,-1.053165401,0.3625122649
2013,3,11,Detroit Lions,-1.138302996,0.3539985054
2013,3,8,Cleveland Browns,-1.676238173,0.3002049877
2013,3,21,New York Giants,-1.921819017,0.2756469033
2013,3,1,Arizona Cardinals,-2.152458207,0.2525829843
2013,3,18,Minnesota Vikings,-2.335552535,0.2342735515
2013,3,25,Pittsburgh Steelers,-2.423228061,0.2255059989
2013,3,32,Washington Commanders,-2.837706424,0.1840581626
2013,3,24,Philadelphia Eagles,-3.573924994,0.1104363056
2013,3,15,Jacksonville Jaguars,-4.67828805,0
2013,4,10,Denver Broncos,5.266283573,1
2013,4,29,Seattle Seahawks,4.30162806,0.9035344487
2013,4,3,Baltimore Ravens,3.723746405,0.8457462832
2013,4,19,New England Patriots,3.468587115,0.8202303542
2013,4,28,San Francisco 49ers,2.534346412,0.7268062839
2013,4,20,New Orleans Saints,2.066876995,0.6800593422
2013,4,5,Carolina Panthers,1.530979256,0.6264695683
2013,4,14,Indianapolis Colts,1.055378452,0.5789094879
2013,4,17,Miami Dolphins,1.047413807,0.5781130234
2013,4,27,Los Angeles Chargers,0.7437131698,0.5477429597
2013,4,16,Kansas City Chiefs,0.531731358,0.5265447785
2013,4,12,Green Bay Packers,0.3072813229,0.504099775
2013,4,13,Houston Texans,0.2260716678,0.4959788095
2013,4,6,Chicago Bears,0.1534904648,0.4887206892
2013,4,11,Detroit Lions,0.07061186557,0.4804328293
2013,4,31,Tennessee Titans,-0.09597210449,0.4637744323
2013,4,7,Cincinnati Bengals,-0.1759378892,0.4557778538
2013,4,4,Buffalo Bills,-0.1807598905,0.4552956537
2013,4,2,Atlanta Falcons,-0.2919520637,0.4441764363
2013,4,9,Dallas Cowboys,-0.7611138919,0.3972602535
2013,4,22,New York Jets,-0.7701147214,0.3963601706
2013,4,8,Cleveland Browns,-1.009489309,0.3724227118
2013,4,30,Tampa Bay Buccaneers,-1.091446651,0.3642269776
2013,4,18,Minnesota Vikings,-1.563238828,0.3170477599
2013,4,1,Arizona Cardinals,-1.768329059,0.2965387368
2013,4,23,Las Vegas Raiders,-1.828703867,0.2905012561
2013,4,26,Los Angeles Rams,-1.83424703,0.2899469397
2013,4,32,Washington Commanders,-2.084997812,0.2648718615
2013,4,21,New York Giants,-2.466148479,0.2267567948
2013,4,25,Pittsburgh Steelers,-2.883513596,0.1850202831
2013,4,24,Philadelphia Eagles,-3.488458305,0.1245258122
2013,4,15,Jacksonville Jaguars,-4.733716427,0
2013,5,10,Denver Broncos,5.001566331,1
2013,5,3,Baltimore Ravens,3.357204459,0.8355638127
2013,5,29,Seattle Seahawks,3.007749862,0.8006183531
2013,5,28,San Francisco 49ers,2.638829198,0.7637262867
2013,5,20,New Orleans Saints,2.559935623,0.7558369292
2013,5,19,New England Patriots,1.911550565,0.6909984234
2013,5,16,Kansas City Chiefs,1.383024727,0.6381458395
2013,5,14,Indianapolis Colts,1.291604956,0.6290038625
2013,5,12,Green Bay Packers,0.733184919,0.5731618588
2013,5,7,Cincinnati Bengals,0.7179449649,0.5716378634
2013,5,17,Miami Dolphins,0.6627821864,0.5661215855
2013,5,5,Carolina Panthers,0.3060212959,0.5304454965
2013,5,8,Cleveland Browns,0.2952709523,0.5293704621
2013,5,27,Los Angeles Chargers,0.06964465835,0.5068078327
2013,5,6,Chicago Bears,-0.3287545477,0.4669679121
2013,5,2,Atlanta Falcons,-0.3302307932,0.4668202876
2013,5,9,Dallas Cowboys,-0.3540517157,0.4644381953
2013,5,11,Detroit Lions,-0.4799289374,0.4518504731
2013,5,1,Arizona Cardinals,-0.5746707017,0.4423762967
2013,5,23,Las Vegas Raiders,-0.6141542207,0.4384279448
2013,5,13,Houston Texans,-0.6358952761,0.4362538393
